institution,campaign,total_distance_km,available_distance_km,availability
BGR,1999_GANOVEX-VIII-Matusevich,"4,191,548",0,
BGR,1999_GANOVEX-VIII-Mertz,"960,955",0,
BGR,2002_PCMEGA,"201,504",0,
BGR,Total,"5,354,007",0,N/A
