institution,campaign,total_distance_km,available_distance_km,availability
LDEO,2007_Recovery-Lakes,"3,171",0,
LDEO,2015_ROSETTA,"70,789",0,
LDEO,AGAP_GAMBIT,"32,029","32,029",
LDEO,Total,"105,989","32,029",N/A
