institution,campaign,total_distance_km,available_distance_km,availability
LDEO,2007_Recovery-Lakes,3171.08,0.0,
LDEO,2015_ROSETTA,70789.04,0.0,
LDEO,AGAP_GAMBIT,32787.93,32787.93,
LDEO,Total,106748.04999999999,32787.93,N/A
