institution,campaign,total_distance_km,available_distance_km,availability
BGR,1999_GANOVEX-VIII-Matusevich,4191548.44,0.0,
BGR,1999_GANOVEX-VIII-Mertz,960954.86,0.0,
BGR,2002_PCMEGA,201503.58,0.0,
BGR,Total,5354006.88,0.0,N/A
