institution,campaign,total_distance_km,available_distance_km,availability
PRIC,2004_CHINARE-21,2608.91,0.0,
PRIC,2007_CHINARE-24,752.62,0.0,
PRIC,2015_CHA1,103990.69,0.0,
PRIC,2016_CHA2,50741.69,0.0,
PRIC,2017_CHA3,62863.58,0.0,
PRIC,2018_CHA4,25651.64,0.0,
PRIC,Total,246609.13,0.0,N/A
