institution,campaign,total_distance_km,available_distance_km,availability
STOLAF,1994_Siple-Dome,159,0,
STOLAF,2001_ITASE-Byrd-Ellsworth,986,0,
STOLAF,2001_ITASE-Ellsworth,142,0,
STOLAF,2002_ITASE-Byrd-South-Pole,"1,384",0,
STOLAF,2002_ITASE-Hercules-Dome,111,0,
STOLAF,Total,"2,782",0,N/A
